"Qty";"Value";"Device";"Footprint Name";"Parts";"Detailed Description";"";
"6";"100n";"C-EUC0805";"C0805";"C1, C2, C3, C4, C5, C9";"CAPACITOR, European symbol";"";
"1";"100nF";"C-EUC0805";"C0805";"C11";"CAPACITOR, European symbol";"";
"2";"10K";"R-EU_R0805";"R0805";"R8, R9";"RESISTOR, European symbol";"";
"3";"10k";"R-EU_R0805";"R0805";"R1, R2, R3";"RESISTOR, European symbol";"";
"1";"10nF";"C-EUC0805";"C0805";"C10";"CAPACITOR, European symbol";"";
"1";"1K5";"R-EU_R0805";"R0805";"R10";"RESISTOR, European symbol";"";
"2";"20p";"C-EUC0805";"C0805";"C7, C8";"CAPACITOR, European symbol";"";
"1";"217179-0001-USB-C";"217179-0001-USB-C";"TYPEC16";"JP5";"";"";
"2";"2N7002";"MOSFET-NCHANNELBSS138";"SOT23";"T2, T3";"Common NMOSFET Parts";"";
"2";"2u2";"C-EUC0805";"C0805";"C13, C15";"CAPACITOR, European symbol";"";
"1";"4.7uF";"C-EUC0805";"C0805";"C12";"CAPACITOR, European symbol";"";
"2";"470n";"C-EUC0805";"C0805";"C14, C16";"CAPACITOR, European symbol";"";
"1";"47u";"AMRM00101040470MA1";"AMRM001";"L2";"";"";
"2";"4u7";"C-EUC0805";"C0805";"C6, C17";"CAPACITOR, European symbol";"";
"2";"5K1";"R-EU_R0805";"R0805";"R6, R7";"RESISTOR, European symbol";"";
"1";"8MHz";"CRYSTALHC49UP";"HC49UP";"Q1";"CRYSTAL";"";
"1";"MZP1005";"INDUCTOR_INDUCTOR/FERRITE-BEAD0402";"INDUCTOR_L0402";"L1";"";"";
"2";"RSC002P03";"RSC002P03";"SOT95";"T1, T4";"";"";
"1";"STM32F103C8T6LQFP48_STM";"STM32F103C8T6LQFP48_STM";"LQFP48_STM";"U1";"";"";
"1";"USBLC6-2";"USBLC6-2";"SOT23-6L";"U3";"";"";
